Month,   HPI(NSA),       Loans(Billions)     
460,     134.95051735,     3552.7252
461,     137.41011682,     3545.0248
462,     139.58308,     3543.7684
463,     141.1508153,     3538.0863
464,     141.87168378,     3528.3496
465,     142.0210325,     3527.6188
466,     141.90535398,     3524.8603
467,     141.60373027,     3529.9266
468,     141.31265039,     3531.9466
469,     141.397139,     3535.1925
470,     142.18911213,     3544.8412
471,     143.67871098,     3560.7707
472,     145.41324783,     3573.5437
473,     146.97293782,     3581.6071
474,     148.19460535,     3597.2288
475,     148.903716,     3605.8143
476,     149.00676655,     3616.6504
477,     148.78412761,     3620.0662
478,     148.59165601,     3622.107
479,     148.38907672,     3628.5726
480,     148.15262633,     3638.9145
481,     148.20556847,     3651.1921
482,     149.01968411,     3672.3976
483,     150.69783063,     3707.7939
484,     152.71373011,     3716.4901
485,     154.66921948,     3726.4035
486,     156.23025679,     3743.5006
487,     157.14037809,     3759.5901
488,     157.47848362,     3774.5074
489,     157.49998242,     3791.599
490,     157.45498764,     3810.4525
491,     157.35665538,     3845.446
492,     157.15805046,     3868.6103
493,     157.20951112,     3886.2038
494,     158.20089302,     3912.3418
495,     160.0805348,     3940.2383
496,     162.20369961,     3956.4116
497,     164.21925312,     3983.7739
498,     165.81329237,     4003.8463
499,     166.77608799,     4029.9584
500,     167.20081806,     4051.7696
501,     167.27526793,     4070.9525
502,     167.26881059,     4096.7359
503,     167.32335921,     4109.8429
504,     167.342076,     4116.4499
